video_id,pred_orig,pred_vanilla,pred_flow,answer,anchor_frame,anchor_bbox
qvwfWyU9Gfc,B,B,B,B,15,"(0, 0, 1280, 720)"
qvwfWyU9Gfc,C,C,C,C,13,"(0, 0, 1280, 720)"
qvwfWyU9Gfc,B,B,B,D,15,"(0, 0, 1280, 720)"
TVkck1ACKDQ,D,D,D,A,14,"(0, 0, 640, 360)"
TVkck1ACKDQ,C,C,C,B,14,"(0, 0, 640, 360)"
TVkck1ACKDQ,C,D,C,C,14,"(0, 0, 640, 360)"
Gh_GtYtQoVI,B,B,C,B,15,"(0, 0, 1196, 720)"
Gh_GtYtQoVI,A,A,A,D,15,"(0, 0, 1280, 720)"
Gh_GtYtQoVI,C,C,C,A,2,"(0, 0, 1280, 720)"
GqeRnxSuLFI,C,C,C,A,8,"(0, 0, 1280, 720)"
GqeRnxSuLFI,D,D,D,A,12,"(0, 0, 1280, 720)"
GqeRnxSuLFI,A,A,A,A,0,"(0, 0, 1280, 720)"
5ksVshqVuiM,C,C,C,C,0,"(0, 0, 1280, 720)"
5ksVshqVuiM,C,C,C,B,12,"(0, 0, 1280, 720)"
5ksVshqVuiM,B,B,B,B,0,"(0, 0, 1280, 720)"
fo-mVfOsC-E,B,B,B,B,1,"(0, 0, 1280, 720)"
fo-mVfOsC-E,B,B,B,C,4,"(0, 0, 1280, 720)"
fo-mVfOsC-E,D,D,D,A,4,"(0, 0, 1280, 720)"
CezlmUwMXNo,D,D,D,D,15,"(0, 0, 1280, 720)"
CezlmUwMXNo,B,C,B,B,15,"(0, 0, 1280, 720)"
CezlmUwMXNo,C,C,C,C,15,"(0, 0, 1280, 720)"
aqTIB_q40bo,C,C,C,C,8,"(0, 0, 1280, 720)"
aqTIB_q40bo,A,C,A,B,8,"(0, 0, 1280, 720)"
aqTIB_q40bo,D,D,D,B,8,"(0, 0, 1280, 720)"
3rTsETO3s9U,B,B,B,C,10,"(0, 0, 1235, 720)"
3rTsETO3s9U,D,D,D,D,10,"(0, 0, 1280, 720)"
3rTsETO3s9U,B,B,B,C,10,"(0, 0, 1280, 720)"
drbi6HK1gSc,D,D,D,D,5,"(0, 0, 640, 360)"
drbi6HK1gSc,C,C,C,B,4,"(0, 0, 640, 360)"
drbi6HK1gSc,B,B,B,C,13,"(0, 0, 640, 360)"
M69Sn3OERZo,C,C,C,A,15,"(0, 0, 1280, 720)"
M69Sn3OERZo,C,C,C,C,15,"(0, 0, 1280, 720)"
M69Sn3OERZo,C,C,B,D,15,"(0, 0, 1280, 720)"
Q0B5dLHDQ2w,B,B,B,B,0,"(0, 0, 640, 360)"
Q0B5dLHDQ2w,A,A,A,A,0,"(0, 0, 640, 360)"
Q0B5dLHDQ2w,D,D,D,D,0,"(0, 0, 640, 360)"
uoJDGnaVuTg,C,C,C,C,11,"(0, 0, 1280, 720)"
uoJDGnaVuTg,C,C,C,C,11,"(0, 0, 1280, 720)"
uoJDGnaVuTg,D,D,D,A,15,"(0, 0, 1280, 720)"
HmnKbBmYii8,D,D,D,B,15,"(0, 0, 1280, 720)"
HmnKbBmYii8,D,D,D,D,15,"(0, 0, 1280, 720)"
HmnKbBmYii8,A,A,A,C,15,"(0, 0, 1280, 720)"
y6ReUXtm_VE,C,C,C,D,1,"(0, 0, 1280, 720)"
y6ReUXtm_VE,B,B,B,B,1,"(0, 0, 1280, 720)"
y6ReUXtm_VE,B,B,B,B,1,"(0, 0, 1280, 720)"
ykJ7pyr87Qc,D,D,D,D,0,"(0, 0, 1280, 720)"
ykJ7pyr87Qc,B,B,B,B,0,"(0, 0, 1280, 720)"
ykJ7pyr87Qc,B,B,B,B,0,"(0, 0, 1280, 720)"
6Z_XNM_iT4g,D,D,D,B,11,"(0, 0, 1280, 720)"
6Z_XNM_iT4g,D,D,D,B,11,"(0, 0, 1280, 720)"
6Z_XNM_iT4g,C,C,C,C,11,"(0, 0, 1280, 720)"
of62s85uMMs,D,D,D,D,12,"(0, 0, 576, 360)"
of62s85uMMs,B,D,D,B,14,"(0, 0, 640, 360)"
of62s85uMMs,D,D,D,D,14,"(0, 0, 640, 360)"
lsfEHOtYGyk,B,B,B,A,14,"(0, 0, 1280, 720)"
lsfEHOtYGyk,B,B,B,B,14,"(0, 0, 1280, 720)"
lsfEHOtYGyk,A,A,A,A,8,"(0, 0, 1101, 720)"
zNxi2s36tS0,D,D,D,A,9,"(0, 0, 640, 360)"
zNxi2s36tS0,D,D,D,D,9,"(0, 0, 640, 360)"
zNxi2s36tS0,B,B,B,B,5,"(0, 0, 640, 360)"
fkJv7LRa6Pc,D,D,D,B,6,"(0, 0, 640, 360)"
fkJv7LRa6Pc,D,D,D,C,3,"(0, 0, 640, 360)"
fkJv7LRa6Pc,D,D,D,A,3,"(0, 0, 640, 360)"
eICN548E2TU,A,A,A,A,0,"(0, 0, 640, 360)"
eICN548E2TU,B,B,B,D,0,"(0, 0, 640, 360)"
eICN548E2TU,C,C,C,C,0,"(0, 0, 640, 360)"
sxsjigV9S-Y,D,D,B,B,0,"(0, 0, 640, 360)"
sxsjigV9S-Y,D,D,D,C,14,"(0, 0, 640, 360)"
sxsjigV9S-Y,D,D,D,A,14,"(0, 0, 640, 360)"
FlcVBKTSjRs,D,D,D,A,15,"(0, 0, 1280, 720)"
FlcVBKTSjRs,C,C,C,D,15,"(0, 0, 1280, 720)"
FlcVBKTSjRs,B,B,B,B,15,"(0, 0, 1280, 720)"
g1MCVp5xICM,D,D,D,C,1,"(0, 0, 640, 328)"
g1MCVp5xICM,B,B,B,A,10,"(0, 0, 640, 360)"
g1MCVp5xICM,B,B,B,B,1,"(0, 0, 640, 333)"
J2rlJV7zKZw,D,D,D,D,11,"(0, 0, 1280, 720)"
J2rlJV7zKZw,C,C,A,A,11,"(0, 0, 1280, 720)"
J2rlJV7zKZw,A,A,A,A,12,"(0, 0, 1280, 720)"
SFmocFLXg0Y,D,D,D,B,8,"(0, 0, 640, 360)"
SFmocFLXg0Y,C,C,C,C,8,"(0, 0, 640, 360)"
SFmocFLXg0Y,B,B,B,A,8,"(0, 0, 640, 360)"
